avg_color,mass,brightness,contrast,motion
"[41.89351700763302, 45.635286292251315, 61.1224446199377]",2252947,49.823382942044006,79.36803712246956,0.17193615436553955
"[42.04274080237561, 45.826032677475325, 61.22855050223216]",2252473,49.98416916204958,79.58041344847098,0.17137762904167175
"[41.87488291214924, 45.557697529695375, 61.08026123046871]",2253740,49.763352063237406,79.30665428312285,0.17211651802062988
"[41.90009883958464, 45.64598706303804, 61.070342083366484]",2253722,49.814833037707274,79.37030106214311,0.17617784440517426
"[41.76620576819594, 45.441606171277115, 60.9372256532007]",2254315,49.639479656608735,79.16073411259815,0.12458797544240952
"[41.8394376793686, 45.569007717833266, 60.97353845713097]",2254103,49.73333241988202,79.2771465761232,0.12239488214254379
"[41.84638042839204, 45.38980413942919, 60.968316214425336]",2254132,49.62804957798549,79.15791480900998,0.16269445419311523
"[42.033635042151715, 45.551844071368755, 61.11367206184225]",2253462,49.788071612922515,79.36784285446086,0.15620732307434082
"[41.87272426060269, 45.316000802176276, 60.95943840182561]",2254115,49.584785305723855,79.12050989075288,0.11835349351167679
"[41.90607156558916, 45.414731084084075, 60.965484619140526]",2254195,49.64872461435746,79.19747026142281,0.11721225827932358
"[41.795427594866055, 45.15417044503347, 60.8486216019611]",2255274,49.448672547632334,78.96024384658979,0.16087278723716736
"[41.893320200394676, 45.25112323371735, 60.891343097297586]",2254898,49.52941489706234,79.06182873449735,0.15929922461509705
"[41.70624339823822, 44.998867735570805, 60.709495700135555]",2255943,49.30478403519611,78.79537145212404,0.11761394143104553
"[41.74150054308835, 45.09363135512999, 60.70614312619574]",2256005,49.36359701351244,78.86883844388859,0.12162122875452042
"[41.74684236487559, 44.896183870276666, 60.69628252301896]",2256141,49.2455260607661,78.74164596198577,0.16648609936237335
"[41.951398577008995, 45.046096178950066, 60.83467724858512]",2255567,49.39854711415816,78.93772243023358,0.15901140868663788
"[41.780710025709496, 44.78236420300539, 60.670488007214566]",2256846,49.17510612643495,78.67474552190684,0.15860845148563385
"[41.82144943548707, 44.87292231345658, 60.659932350625745]",2257048,49.230310868243784,78.74756086850115,0.16119509935379028
"[41.71511840820311, 44.591770717075924, 60.552972910355514]",2257747,49.02106802804129,78.48778296086873,0.11563292145729065
"[41.800889929946685, 44.664500333824996, 60.603898028938076]",2257621,49.08879836724729,78.55744647910987,0.10923153907060623
"[41.7053798753388, 44.43965865154649, 60.513986081493115]",2258317,48.91883102728396,78.35651254064145,0.15288478136062622
"[41.821684545400196, 44.58737556301817, 60.59164771255184]",2257981,49.04181998116629,78.50738559034315,0.15567567944526672
"[41.84475458884718, 44.47258089026621, 60.604830683494065]",2258133,48.980838074976084,78.44530893301221,0.11702803522348404
"[42.13198323152494, 44.77074852768253, 60.88136976592392]",2256948,49.27470211106904,78.64912852833636,0.11307227611541748
"[41.79149300711498, 44.19252854950572, 60.506098533163254]",2258918,48.78061317910954,78.20402162097396,0.1699935495853424
"[41.736436493542776, 44.09223408601721, 60.39164017657839]",2259953,48.68136222995057,78.06573652304398,0.17174029350280762
"[41.73471785564811, 43.8551859952965, 60.36144676987011]",2260393,48.53243676010443,77.90166370841517,0.16676943004131317
"[41.939911200075755, 43.99324783013795, 60.49549834582273]",2260361,48.677148935746175,78.0879635922635,0.16033245623111725
"[41.9209681919643, 43.87307396713568, 60.45383936045119]",2260602,48.591794383769134,78.00718871668731,0.12016855925321579
"[42.14190673828124, 44.18477677325818, 60.654264488998855]",2260182,48.86258868781888,78.21690113516689,0.11683803796768188
"[41.808015161631076, 43.58660701829562, 60.29691797373247]",2261876,48.36443095304528,77.73005527550949,0.17085546255111694
"[41.742581737284816, 43.467557323222245, 60.18360215790413]",2262932,48.253498933753185,77.5723339303686,0.16986997425556183
"[41.63662283761155, 43.218392508370535, 60.058526175362694]",2263831,48.05730516083386,77.34468352166272,0.1181982159614563
"[41.728936954420455, 43.319023599430054, 60.10876869668766]",2263613,48.142008567342955,77.43899244656043,0.11743585765361786
"[41.792749833087484, 43.204584861288204, 60.13865786182625]",2263493,48.090756786112884,77.39982156385324,0.16555826365947723
"[42.11778508400425, 43.53308198889907, 60.42741518604514]",2262472,48.41061899613361,77.6397432914416,0.1544838547706604
"[41.70435442243306, 42.94211936483581, 60.022576779735324]",2264793,47.89224647989079,77.1612041708194,0.18280243873596191
"[41.603715857681, 42.82637522171952, 59.906433105468764]",2266216,47.77793572873485,77.00236478362318,0.18126647174358368
"[41.5163692552216, 42.57156060666454, 59.82423182896202]",2266966,47.593839995715086,76.79174242007058,0.12229862064123154
"[41.62838994240267, 42.65982896454479, 59.9033361940967]",2267023,47.682304849430004,76.88970118965808,0.11807635426521301
"[41.64935832120932, 42.54361584721779, 59.912599836077035]",2267248,47.61889056770169,76.84857029217861,0.17063994705677032
"[41.92203257035259, 42.88206668775929, 60.16845765405783]",2266279,47.92832759935029,77.11709383501672,0.16548411548137665
"[41.65038688815364, 42.384220356843834, 59.89344663036106]",2268071,47.52048445721062,76.74503596968384,0.1386840045452118
"[41.66194495376277, 42.34819342165581, 59.871077245595586]",2268922,47.49456662547831,76.68816194824579,0.13519714772701263
"[41.37099192093833, 41.9524794598015, 59.580407278878404]",2271010,47.14159938267299,76.2657059849573,0.18807466328144073
"[41.35969076351239, 41.942666190011224, 59.52022412358495]",2271714,47.11673253896285,76.22501462896807,0.19173474609851837
