avg_color,mass
"[41.457527004942584, 41.68141703702976, 59.50512539610566]",2273584
"[41.45802338269295, 41.66889486507494, 59.46082228057232]",2274429
"[41.32064071966682, 41.33555914431206, 59.28540848712529]",2276086
"[41.395952185805974, 41.381768362862694, 59.289482583805025]",2276904
"[41.3126043202925, 41.197967529296875, 59.186854148397686]",2277777
"[41.42287336077009, 41.35875966597581, 59.25170026506692]",2277889
"[41.38340665856183, 41.06259933783084, 59.17631561902103]",2279482
"[41.55160989566728, 41.13809702347738, 59.27203680544488]",2279985
"[41.335702390086944, 40.80678511639029, 59.02977114307636]",2282657
"[41.364683190170446, 40.84714181082587, 58.986404418945256]",2283828
"[41.3352125518176, 40.65426012934473, 58.93574804189257]",2284884
"[41.50001712721216, 40.79013902313853, 59.055978268993194]",2285108
"[41.35358319963725, 40.52563601124041, 58.89702466069427]",2287195
"[41.43962782256458, 40.62454971002069, 58.93964027871891]",2288180
"[41.411392523317936, 40.40650099150988, 58.904314936423745]",2289650
"[41.587738971320896, 40.52180231833949, 59.052403041294625]",2290070
"[41.38218751245609, 40.20260308713323, 58.84833760164215]",2293048
"[41.398459298270105, 40.242377456353644, 58.834425322863524]",2294646
"[41.31687802684555, 39.975214744100775, 58.770360207071064]",2296523
"[41.44294987892618, 40.077697753906286, 58.87697243203927]",2297107
"[41.32428321059872, 39.89443097795764, 58.77706410933512]",2298691
"[41.4036092952806, 40.06090498943717, 58.8576734893176]",2299052
"[41.263799861985774, 39.72932807766658, 58.727709089006574]",2301647
"[41.30990258041699, 39.777412570252686, 58.77088928222653]",2303198
"[41.17805916922434, 39.54642533282844, 58.64964014170132]",2304689
"[41.22537169164535, 39.648322903380134, 58.689040203483785]",2305470
"[41.20169814752072, 39.42584539919487, 58.67999485560821]",2306570
"[41.34923382194678, 39.55557095274634, 58.8112416170082]",2307007
"[41.160785285794, 39.31118867835216, 58.64965508908644]",2308882
"[41.179172126614375, 39.395328443877624, 58.65328543526794]",2309650
"[41.07726241131222, 39.11677395567601, 58.57927999691078]",2311879
"[41.17334295778859, 39.19357362085456, 58.67174452178341]",2312589
"[41.091785353057226, 38.98672360790016, 58.63846136599164]",2314112
"[41.19828329280933, 39.137931668028514, 58.76324805434872]",2314157
"[41.090082596759366, 38.87419346400667, 58.6913875657685]",2315473
"[41.16246530961016, 38.96358848104671, 58.76734550631782]",2315492
